N_REG;NOMBRE_FUNDACION;OBS;ANTIGUA_DENOMINACION;SIGLAS;WEB;CORREO_ELECTRONICO;DIRECCION;DIRECCION_SEDE;PROV;CIUDAD;PROVINCIA;CP;TEL;FAX;CIF;FECHA_INSCRIPCION;FECHA_FUSION;FECHA_EXTINCION;FIN;FIN_2;FIN_3;OBJETO
238A;FUNDACIÓN JORGE TALAVERA DE LA COMUNITAT VALENCIANA;;;;;administracion@alonsolledoasesores.es;Camino Viejo de Elche, número, 19;;3;Alicante;Alicante;3007;965258540;;G42670448;2020/09/14 00:00:00.000;;;14;;;artículo 6.- Fines y Actividades “1.- La fundación tiene por objeto primordial la atención integral a personas drogodependientes y a sus familias, y, en general, a la investigación, prevención y erradicación de las adicciones y problemáticas conexas de la drogadicción y sus repercusiones en el orden personal, familiar, sanitario y social. 2.- La Fundación fomentará para la consecución de los anteriores fines, acciones de voluntariado social, sin distinción por causa de sexo, condición social, religión, nacionalidad etc. 3.- La Fundación promoverá y realizará así mismo actividades de formación encaminadas a la integración socio-laboral de los colectivos beneficiarios, formación de educadores, mediadores y otros agentes sociales, y realizará campañas y acciones de sensibilización y difusión social necesarias para la consecución de los fines fundacionales. 4.- La Fundación desarrollará y cumplirá los fines fundacionales de forma no lucrativa. 5.- Corresponde al Patronato de la Fundación determinar el modo en que se cumplirán los fines indicados en este artículo, realizando en todo caso, lo indicado en el apartado 6.1 del artículo 6 relativo a FINES Y ACTIVIDADES.”---------------------------------------------------------------------------------------------------------
238V;FUNDACIÓN LABORAL SAGRADA FAMILIA, S.A.L.;;;;;;Carretera de Favareta, s/n;;46;ALZIRA;VALÈNCIA;46600;;;;1969/06/06 00:00:00.000;;;61;;;La creación, mantenimiento, fomento y administración de: Puestos de trabajo, guarderías infantiles, escuelas maternales y de primera enseñanza, régimen de becas para estudios, formación laboral y técnica para investigación, y en general, de aplicación como medio, ayuda o premio para el incremento cultural o científico de los beneficiarios. Residencias de descanso para niños y para trabajadores, jubilados y ancianos. Creación y mantenimiento de centros culturales, de formación profesional, recreativos y deportivos. Creación y mantenimiento de economatos y otros centros de suministros. Servicios médicos y de asistencia sanitaria. Construcción de viviendas para los beneficiarios. Actividades de previsión, de ahorro y de ayuda económica. Y en general, cualquier otra clase de realizaciones de carácter social para el disfrute de los beneficiarios de la Fundación.
239A;FUNDACIÓN ANTONIO CONESA MORALES DE PINTURA DE LA COMUNITAT VALENCIANA;;;;;info@fonatanalsabogados.com;calle José Martínez Ruiz “Azorín” nún 11 planta 7ª puerta A;;3;TORREVIEJA;ALICANTE;3181;965712453;;;2021/01/11 00:00:00.000;;;32;;;De acuerdo con el Título segundo de sus Estatutos, artículo 6.- Fines y Actividades.- “La Fundación tiene por objeto la divulgación cultural, y en concreto la creación de un fondo cultural basado fundamentalmente en el patrimonio pictórico, creación de diversos autores, para su divulgación y promoción desde su sede a través de otros organismos que tengan la amisma actividad cultural según decida el Patronato que la dirija. Corresponde al Patronato de la Fundación determinar el modo en que se deberán cumplir los fines enumerados en este artículo. Las prestaciones de la Fundación se otorgarán de forma no lucrativa. El desarrollo del objeto de la Fundacion se efectuará a través de las formas siguientes de actuación. La totalidad del patrimonio artístico de la Fundación deberá mantenerse en la sede museística, con la salvedad de su prestación parcial a exposiciones o muestras, diractamente por la propia fundación o por acuerdo con otras entidades.”
239V;FUNDACIÓN DE LA COMUNIDAD VALENCIANA DE LAS EMPRESAS AFECTADAS POR EL CONVENIO COLECTIVO DE TRÁFICO EXTERIOR, EMPRESAS NAVIERAS, CONSIGNATARIAS DE BUQUES, AGENTES DE ADUANAS, TRANSITARIOS Y EMPRESAS ESTIBADORAS DE LA PROVINCIA DE VALENCIA;;FUNDACIÓN LABORAL DE TRÁFICO EXTERIOR, EMPRESAS NAVIERAS, CONSIGNATARIA DE BUQUES, AGENTES DE ADUANAS, TRANSITARIOS Y EMPRESAS ESTIBADORAS;;;Info@fltecv.org;Calle Doctor  J.J. Dominé, nº 1-2º-3ª;;46;VALÈNCIA;VALÈNCIA;46011;963 164 075 646 846 882;;G96017983;1992/02/03 00:00:00.000;;;62;;;La Fundación tiene por objeto la prestación de servicios sociales y asistenciales, así como el desarrollo cultural y profesional de sus beneficiarios. Así entre los fines más importantes e inmediatos de la Fundación se pueden enumerar los siguientes: Prestación de ayudas familiares. Suscripción de una póliza de seguro de vida colectivo. Estudio, elaboración y, en su caso, el impartir cursos de formación profesional adecuados a las necesidades del sector. Asesoramiento y mediación en todo lo relativo a formación y clasificación profesional. Formación de futuros trabajadores del sector y reciclaje de los actuales
240A;FUNDACIÓN BALONMANO AGUSTINOS ALICANTE DE LA COMUNITAT VALENCIANA;;;;;;;calle Pintor Pedro Camacho, 5 escalera 18, Locales 23-24;3;ALICANTE;ALICANTE;3015;;;;2021/03/10 00:00:00.000;;;35;;35;artículo 6.- Fines. “La Fundación tiene como objetivo principal la difusión y promoción de la actividad deportiva del balonmano. Corresponde al patronato de la fundación determinar la manera en que se habrán de cumplir los fines enunerados en este artículo. Las prestaciones de la fundación se otorgarán de forma no lucrativa. El desarrollo del objeto de la Fundación se efectuará a través de alguna de las siguientes formas de actuación: a) Fomento del Balonmano de base, la promoción de la cantera y del balonmano amateur. b) Colaborar con el Club Balonmano Agustinos de Alicante y con cualquiera otras entidades o instituciones sociales, culturales, benéficas y deportivas, ya sean públicas o privadas, dirigidas a la promoción del balonmano y del deporte base. c) Formación de técnicos, deportistas, gestores y directivos de entidades deportivas, principalmente aquellas que están directamente relacionadas con el balonmano. d) Promover la relación entre la Fundación Balonmano Agustinos Alicante de la Comunitat Valenciana y la sociedad alicantina. e) Contribuir al mantenimiento, recuperación y desarrollo de manifestaciones o actividades sociales, culturales y deportivas propias de la tradición alicantina. f) Instituir premios para destacar a las figuras más relevantes del balonmano alicantino. g) Promover la creación de becas y ayudas al estudio de diversas clases, con la amplitud y las condiciones que se estimen pertinentes, para jóvenes deportistas. h) Promover los valores educativos sí como la escolarización de los menores de edad. i) Promover actividades distintas, que, con carácter general, impliquen, a juicio del Patronato, materialización de los valores a los que aspira la Fundación y la consecución del fin social, tales como apoyo a organizaciones benéficas, científicas o culturales. El desarrollo de estos objetivos podrá realizarse por la Fundación directamente o colaborando con otras personas, físicas o jurídicas, ya sean públicas o privadas, españolas o extranjeras, que persigan fines similares
240V;FUNDACIÓN LABORAL DE LOS TRANSPORTES URBANOS DE VALENCIA (FULTUV) FUNDACIÓN DE LA COMUNIDAD VALENCIANA;;;FULTUV;;;Calle Floresta, números 14 y 16 bajos;;46;VALÈNCIA;VALÈNCIA;46022;;;G46110490;1962/11/30 00:00:00.000;;;61;;;Procurar a cuantos trabajadores ingresen al servicio de la Sociedad Anónima Laboral de los Transportes Urbanos de Valencia (SALTUV): a) Formación profesional y técnica para su perfeccionamiento en el trabajo y que les permita adquirir la necesaria para el mejor desempeño de sus funciones y para su ascenso de categoría laboral. b) Formación Empresarial en quien revele aptitud para hacer posible su capacitación para puesto de mando en la Empresa. c) Oportunidad de acceso a la propiedad. 1.- La propia Empresa. 2.- La vivienda, y 3.- bienes y cosas que facilitan al trabajador su función profesional y eleven el nivel de vida personal y familiar en todos los ordenes. d) Descanso en residencias estacionales adecuadas para los trabajadores y sus familiares y viajes de interés cultural y profesional en España y en el extranjero. e) Residencia para los jubilados. f) Guardería infantil y enseñanza hasta la enseñanza primaria o profesional equivalente para los hijos de los trabajadores en establecimientos propios, y medios para facilitarles el acceso a estudios superiores. g) Clínicas  y Sanatorios para el trabajador y sus familiares en casos especiales no cubiertos por la Seguridad Social o que complementen las prestaciones   de esta naturaleza atendidas por ésta. h) Pensiones de jubilación, viudedad y orfandad complementarias de la Seguridad Social o extraordinarias, en caso de excepcional gravedad o no previstos por aquélla. i) Cuantos servicios sociales, y en general, cuantas realizaciones asistenciales sean de interés para los trabajadores de la Empresa y sus familiares.
241A;FUNDACIÓN DEPORTIVA CUCUCH NOVELDA DE LA COMUNITAT VALENCIANA;;;;;;;Carretera Novelda-Monóvar km 2,2;3;NOVELDA;ALICANTE;3660;;;;2021/04/15 00:00:00.000;;;35;;;artículo 6.- Fines y Actividades “La Fundación tiene por objeto la satisfacción de intereses generales, concretamente la promoción y la práctica del deporte en familia, la práctica del deporte en jóvenes así como en mayores de 50 años y, en general, de toda la población. Corresponde al Patronato de la Fundación determinar el modo en que se deberán cumplir los fines enumerados en este artículo. Las prestaciones de la Fundación se otorgarán de forma no lucrativa. El desarrollo del objeto de la Fundación se determinará a través de alguna de las formas siguientes de actuación: 1.- El fomento de la actividad físico-deportiva, mediante la elaboración y ejecución de planes de promoción del deporte para todos, dirigidos a los diferentes sectores de la población. 2.- La organización de campeonatos de ámbito local y de eventos deportivos, pudiendo solicitar la colaboración de las federaciones deportivas correspondientes, fundaciones, asociaciones o empresas privadas. 3.- Cualquier tipo de actuación para el fomento de la actividad deportiva en cualquiera de sus modalidades o categorías. 4.- Ejercer las actividades económicas precisas para el cumplimiento de sus fines. El desarrollo de los fines de la Fundación podrá efectuarse por los siguientes modos, que se enumeran sin propósito exhaustivo. a) Por la Fundación directamente, en instalaciones propias o ajenas. b) Creando o cooperando a la creación de otras entidades de naturaleza asociativa, fundacional o societaria, de acuerdo con lo previsto en la legislación vigente. c) Participando o colaborando en el desarrollo de las actividades de otras entidades, organismos, instituciones o personas de cualquier clase, físicas y jurídicas, que, de algún modo puedan servir a los fines perseguidos por la Fundación, de acuerdo con lo previsto en la legislación vigente. El Patronato tendrá plena libertad para determinar las actividades de la Fundación, tendentes a la consecución de aquellos objetivos concretos que, a juicio de aquel y dentro del cumplimiento de sus fines, sean los más adecuados o convenientes en cada momento.”-
241V;FUNDACIÓN RAMÓN LLULL;;;;;;Avda. Blasco Ibañez, nº 124 - 10ª;;46;VALÈNCIA;VALÈNCIA;46022;;;G96432265;1996/02/09 00:00:00.000;;;20;;;1.- La actividad de fomento de la educación e investigación científica y técnica así como la innovación tecnológica aplicada a cualquier área de conocimiento.- 2.- La contribución a una mejor y mayor cooperación científica entre las personas e instituciones representadas en las distintas líneas de investigación y actividad seguidas.- 3.- La realización de actividades relacionadas con la cooperación al desarrollo y el fomento de la solidaridad entre los pueblos.
242A;FUNDACIÓN PARA LA CONSERVACIÓN Y MANTENIMIENTO DEL PATRIMONIO EN LA DIÓCESIS DE ORIHUELA ALICANTE;;;;;;calle Marco Oliver número 5;;;ALICANTE;ALICANTE;3009;;;;2021/07/01 00:00:00.000;;;30;;;Promover la conservación y difusión del patrimonio que tiene la Diócesis de Orihuela-Alicante.
242V;FUNDACIÓ DE LA COMUNITAT VALENCIANA DEL PATRIMONI INDUSTRIAL I MEMÒRIA OBRERA DEL PORT DE SAGUNT;;FUNDACION DE LA COMUNIDAD VALENCIANA DE PATRIMONIO INDUSTRIAL DE SAGUNTO;;;fcvsagunto@gmail.com;Avda. 9 de Octubre, nº 7;;46;PUERTO DE SAGUNTO;VALÈNCIA;46520;962676558;962676558;G96593728;1996/02/12 00:00:00.000;;;34;;;Estudiar, conservar, difundir y llenar de contenido los conocimientos, los recuerdos, los sonidos, los objetos materiales, las imágenes y cualquier otro elemento que configuró y organizó las actividades de origen siderúrgico que han tenido lugar en el Puerto de Sagunto en el siglo XX.- La creación de un Museo y su archivo en torno al Horno Alto nº 2 y otras edificaciones cercanas para exhibir los fondos que sirvan, aparte de para conservar y transmitir una cultura en torno al carbón y al acero, para rendir homenaje y testimonio constante a aquellos miles de trabajadores, administrativos, técnicos y directivos, que desde sus áreas específicas contribuyeron al funcionamiento de una gran instalación industrial que determinaba los ritmos vitales y la misma existencia de la población del Puerto de Sagunto.
243A;FUNDACIÓN SOCIALIA DE LA COMUNITAT VALENCIANA;;;;;;Partida de Altabix, Polígono 3 número 34;;3;ELX;ALICANTE;3207;;;;2021/07/02 00:00:00.000;;;18;;;La Fundación tiene por objeto: 1.- La promoción de personas y grupos sociales desfavorecidos, por medio de su formación, inserción laboral e integración social. 2.- Favorecer la cultura del voluntariado social desarrollando en las personas valores de justicia, solidaridad y gratuidad. Corresponde al Patronato de la Fundación determinar el modo en que se deberán cumplir los fines enumerados en este artículo. Las prestaciones de la Fundación se otorgarán de forma no lucrativa.
243V;FUNDACIÓN TRIBUNAL DE ARBITRAJE LABORAL DE LA COMUNITAT VALENCIANA;;FUNDACIÓN PARA LA SOLUCIÓN EXTRAJUDICIAL DE CONFLICTOS COLECTIVOS;;;;c/ Amadeo de Saboya, nº 2 planta baja;Paseo de la Alameda, nº 10 - 1º;46;VALÈNCIA;VALÈNCIA;46010;96 337 90 77;337 90 78;G96347091;1996/04/04 00:00:00.000;;;61;;;(art. 6) Son fines de la Fundación el fomento del consenso social, la potenciación de la autonomía negocial de los agentes sociales y económicos, la resolución de los conflictos laborales, la modernización de las relaciones laborales en la Comunitat Valenciana y la asistencia social a los trabajadores y empresas.
244A;FUNDACIÓN DEPORTIVA Y CULTURAL LA NUCIA DE LA COMUNITAT VALENCIANA;;;;;;Avenida Marina Baixa, 19 Edificio Edimar, Local 7;;;LA NUCIA;ALICANTE;3530;;;;2021/11/03 00:00:00.000;;;0;;;La Fundación tiene como objetivo principal la difusión y promoción de actividades deportivas, culturales y sociales que se desarrollen en el municipio de la Nucía. Corresponde al Patronato de la Fundación determinar la manera en que se habrán de cumplir los fines enumerados en este artículo. Las prestaciones de la Fundación se otorgarán de forma no lucrativa.
244V;FUNDACIÓN FEMEVAL PARA LA FORMACIÓN EMPRESARIAL DE LA COMUNIDAD VALENCIANA;;FUNDACIÓN FEDERACIÓN EMPRESARIAL METALÚRGICA VALENCIANA PARA LA FORMACIÓN EMPRESARIAL;FEMEVAL;;jmora@femeval.es   dmpolo@femeval.es;Avda. Blasco Ibáñez, 127;;46;VALÈNCIA;VALÈNCIA;46022;963719761;3719713;G96513940;1996/04/15 00:00:00.000;;;62;;;art. 9 modificado.-”Los fines de la Fundación son: 1º.- Fomentar, promover y ayudar a la definición de las necesidades de formación de empresas, trabajadoras y trabajadores, en función de las demandas sociales, el desarrollo regional, tecnológico y económico. 2º.- Efectuar el desarrollo e implantación de acciones docentes encaminadas a conseguir una mejora en el nivel de cualificación de empresarios, empresarias, trabajadoras y trabajadores, bien con la impartición directa de las actividades formativas, bien mediante la firma de Convenios de Colaboración con otras Organizaciones, Instituciones o Empresas. 3º.- Desarrollo y fomento de estudios e informes en materia de formación, medio ambiente, laboral, economía, fiscalidad y todas aquellas que tenga una relación directa con las empresas y sus trabajadoras y trabajadores. 4º.- Prestar atención a la formación de desempleados y desempleadas procurando su reinserción en el mercado laboral, tales como jóvenes de primer empleo, mujeres que reingresan al mercado de trabajo y parados y paradas de larga duración. 5º.- Contribución a la mejora de las condiciones de trabajo mediante la intervención en la formación permanente de empresas, trabajadoras y trabajadores y prevención de riesgos profesionales, dedicando especial atención a la creación y mejora del empleo, así como favorecer la competitividad de las empresas. 6º.- Fomentar la cooperación e intercambio de experiencias a nivel interregional y transnacional, de manera prioritaria con los países miembros de la Unión Europea. 7º.- Cualquier otro fin que el Patronato considere de interés.”
245A;FUNDACIÓN HANS DIETER OTTO DE LA COMUNITAT VALENCIANA;;;;;;Avenida del Mediterráneo, 3 primer piso;;3;TEULADA;ALICANTE;3725;;;G16986994;2022/05/11 00:00:00.000;;;;;;
245V;FUNDACIÓN DE LA COMUNIDAD VALENCIANA PARA EL FOMENTO DE LA PROMOCIÓN SOCIO-LABORAL;;;;;;Avenida de la Alameda, nº 44-6º-pta 13;Plaza del Ayuntamiento, 2, puerta 18 - 46002;46;VALÈNCIA;VALÈNCIA;46023;96 394 40 94;;G96497193;1996/04/22 00:00:00.000;;;61;;;“ARTÍCULO 6.- Fines y actividades. La Fundación tiene por objeto: a) Promover todo tipo de iniciativas tendentes a la enseñanza y formación en materia empresarial, profesional, comercial, informática, de idiomas y cualquier otro tipo de materia especializada relacionada con la formación en el ámbito laboral. b) Elaborar estudios y fomentar la investigación sobre el desarrollo de los recursos humanos, y especialmente, sobre la formación profesional. c) Contribuir a la mejora y modernización de los métodos de formación profesional. d) Realizar cursos, seminarios, conferencias, congresos y, en general, todo tipo de actividades destinadas a su finalidad e) Propiciar mediante técnicas de formación y reciclaje la inserción en el ámbito laboral. j) Promover y conocer de las necesidades actuales y futuras respecto de la formación permanente de los trabajadores, así como generar las referidas en cuanto a la cualificación técnico-profesional necesaria para satisfacer las demandas sociales orientadas a la mejora de las condiciones de trabajo, y todo lo relacionado con las necesidades formativas del mercado de trabajo. g) Organizar, promover y desarrollar todo tipo de actividades, de formación, estudio e investigación tendentes a mejorar la cualificación de los trabajadores en activo, así como a los desempleados. h) Promover y desarrollar el intercambio de experiencia en tareas de gestión empresarial, investigación, difusión y formación. i) Promover la investigación educativa, proyectos de innovación educativa y de desarrollo curricular. j) Promover la realización de prácticas formativas en empresas de la Unión Europea. k) Fomentar el conocimiento de lenguas de los diversos Estados de la Unión Europea y contribuir a la mejora cualitativa de la enseñanza y aprendizaje de lenguas de la Unión Europea. l) Promoción de la cultura, mediante la realización, desarrollo, promoción, coordinación y fomento de investigaciones, estudios y actividades de naturaleza cultural, científica y artística de interés social, tanto a nivel local como nacional como supranacional. m) Promover la conservación, fomento y difusión del patrimonio cultural de nuestra comunidad. n) Promover acciones formativas dirigidas a trabajadores en activo, cualquiera que sea el sector, público o privado, y rama de actividad, poniendo especial interés en el sector de la Distribución comercial, con los objetivos siguientes: - Mejora de competencias y cualificaciones, como a la recalificación de los trabajadores ocupados. - Facilitar la adaptación a los que tienen cualificaciones inadaptadas a las exigidas por los avances tecnológicos o los cambios en la organización de las empresas. - Subsanar las dificultades de igualdad de tratamiento en el empleo, haciendo especial hincapié en colectivos tales como mujeres, mayores de 45 años y discapacitados. - Fomentar la igualdad entre el hombre y la mujer dentro de la actividad empresarial de las mujeres y su acceso a los puestos de decisión en cualquier sector, y en particular en el de la distribución comercial. o) Promover acciones formativas con el fin de favorecer la inserción o reinserción en el mercado de trabajo, en especial en el sector de la distribución comercial, tanto de trabajadores en situación de desempleo, como aquellas personas que buscan su primer empleo. Para ello se desarrollan acciones con los siguientes objetivos: - Promover acciones dirigidas a aquellas personas que necesitan adquirir o perfeccionar su calificación para el desempeño de una determinada profesión y que cumplan un perfil previamente establecido. - Promover acciones formativas dirigidas a facilitar la inserción laboral, en especial en el sector de la distribución comercial, de las personas con graves dificultades de integración en el mercado de trabajo, tales como: Parados de larga duración o mayores de 45 años. Mujeres. Menores de 25 años. Personas discapacitadas. Personas en situación de marginación social. - Promover acciones formativas básicas y profesi
246A;FUNDACIÓ ESCOLA DE POSTGRAU I XARXA DE CENTRES D'INVESTIGACIÓ EN INTEL·LIGÈNCIA ARTIFICAL FUNDACIÓ DE LA COMUNITAT VALENCIANA;;;;;;Campus de la Universitat Politècnica de València, calle Camino de Vera s/n;;46;VALÈNCIA;VALÈNCIA;46022;;;;2021/12/17 00:00:00.000;;;21;;;Las finalidades de la Fundación son:. a) Contribuir a incrementar el conocimiento en inteligencia artificial y en las disciplinas relacionadas con esta.. b) Desarrollar y dar apoyo a la docencia de posgrado, la investigación y los estudios en inteligencia artificial y las disciplinas relacionadas.. c) Cooperar para estas finalidades con las universidades y centros de investigación, empresas y cualquier otra persona física o entidad pública y privada.
247A;FUNDACIÓN INTERCITY DE LA COMUNITAT VALENCIANA;;;;;;calle San Antonio s/n;;3;SANT JOAN D'ALACANT;ALICANTE;3550;;;;2021/12/10 00:00:00.000;;;35;;;La Fundación tiene por objeto fomentar toda aquella iniciativa capaz de revertir directamente en la educación de los niños, niñas y jóvenes de Alicante y su provincia. Los actos de beneficencia, la gestión de las categorías inferiores del CLUB DE FÚTBOL INTERCITY S.A.D, así como, en su caso, de otros clubes en las distintas modalidades y disciplinas deportivas y la dirección de la actividad social del Club. Corresponde al Patronato de la Fundación determinar el modo en que se deberán cumlir los fines enumerados en este artículo. Las prestaciones de la Fundación se otorgarán de forma no lucrativa.. . El desarrollo del objeto de la Fundación se efectuará a través de alguna de las formas siguientes de actuación:. a) Organizar actividades sociales, culturales y deportivas para fomentar el deporte de base y animar a los jóvenes a practicar el deporte como un juego y una actividad complementaria esencial en su formación, así como acercar el deporte a la sociedad inculcando la práctica del deporte a la juventud.. b) Gestionar y potenciar el Fútbol Base CLUB DE FÚTBOL INTERCITY SAD a través de sus categorias inferiores, ofreciendo a todos los niños, niñas y jóvenes que la integren los medios humanos y materiales necesarios para su formación deportiva y humana.. c) Gestión de las actividades sociales y culturales del CLUB DE FÚTBOL INTERCITY SAD cuyas instalaciones y demás medios materiales y humanos se pondrán al servicio de la práctica del deporte, la organización de actividades culturales, de ocio y esparcimiento, propiciando y fomentando la convivencia de las personas de toda la sociedad alicantina.. d) Promoción y formación del voluntariado entre sus aficionados y empleados, realización de campañas de carácter social para la sensibilización y promoción de causas afines a los objetivos fundacionales.. e) Fomento del fútbol femenino y su divulgación y potenciación a través de los medios e instalaciones de la fundación.. f) La creación de una escuela de fútbol para personas con discapacidad que potencie las modalidades de fútbol como deporte adaptado tales como El Power Chair, el fútbol 7, el fútbol 5, el A-Ball y el fútbol para personas ciegas que suponga un efectivo vehículo de integración social de personas con discapacidad.. g) Conseguir que los fines fundacionales estén basados en la formación, la igualdad, la integración y la responsabilidad social
247V;FUNDACIÓN PARA LA PROMOCIÓN INTEGRAL DEL EMPLEO DE LA COMUNIDAD VALENCIANA;;;PROINEM;;;Calle Historiador Diago, nº 26;;46;VALÈNCIA;VALÈNCIA;46007;96 382 65 82;;G96471990;1996/04/26 00:00:00.000;;;62;;;la gestión, tramitación y tratamiento del desempleo en el ámbito de la Comunidad Valenciana, de tal manera que, contando con la colaboración de los profesionales más adecuados y con los medios materiales necesarios, se consiga promocionar el empleo.- Por ello, se propiciarán convenios de colaboración con los organismos oficiales que desarrollan planes para la promoción del empleo, tanto en el ámbito nacional como en el de la Comunidad Autónoma Valenciana,y se solicitarán las autorizaciones administrativas pertinentes al efecto de establecer servicios integrados de empleo y agencias de colocación que gestionen las colocaciones que se promocionen, , ejerciendo la mediación entre las empresas oferentes de empleo y los trabajadores desempleados que se inscriban en éstas.- Para los trabajadores desempleados se fomentará el desarrollo de actividades de Formación Ocupacional para mejor su cualificación profesional y facilitar su inserción laboral.- Dirigido a colectivos de trabajadores, empresarios y profesionales activos que deseen mejorar su nivel de cualificación técnica y profesional, y a universitarios que hayan decidió incorporarse al mundo laboral, se programará en las aulas de la Fundación periódicamente seminarios y cursos de formación y reciclaje, en materias especificas, dentro de sus respectivos campos de actuación profesional y de desarrollo socio laboral, incorporando en los programas que se impartan el conocimiento de las nuevas tecnologías, y exponiendo las últimas líneas de investigación y desarrollo. Estas enseñanzas podrán impartirse con métodos y sistemas de educación a distancia.- También se desarrollarán convenios y contratos con la Universidad para impartir disciplinas universitarias de interés, al objeto de complementarlas o ampliarlas. La formación universitaria podrá realizarse aportando los medios humanos y didácticos necesarios y suficientes para impartirla en toda su extensión.- La Fundación podrá emitir boletines informativos y publicaciones monográficas sobre las materias que versen los seminarios y cursos impartidos, así como sobre temas de formación ocupacional y empleo. También promocionará la realización de estudios y estadísticas sobre el desempleo en la Comunidad Valenciana.- En otro orden de fines sociales, la Fundación apoyará y realizará iniciativas encaminadas a fomentar la integración del mayor en la sociedad.- Dirigido al colectivo de personas mayores, la Fundación fomentará y desarrollará actividades de asesoramiento y de participación directa en el campo social, cultural, asistencial y geriátrico.- Entre los objetivos previstos, se encuentra la promoción del voluntariado social, vinculado con la asistencia geriátrica domiciliaria, siendo los beneficiarios las personas mayores con medios económicos escasos.- Fundación realizará estudios sobre las necesidades socio laborales del colectivo de mayores y sobre el establecimiento y regulación del empleo voluntario jubilar.- Los fines de la Fundación, que son de orden educativo, cultural, de fomento del empleo, asistencial y de promoción del voluntariado social, tenderán en todo momento a promover el interés general en beneficio de la colectividad.-
248A;FUNDACIÓN CENTRO INTERNACIONAL PARA LA INVESTIGACIÓN DEL ENVEJECIMIENTO DE LA COMUNITAT VALENCIANA;;;;;;c/ Severo Ochoa,30;;3;ELCHE;ALICANTE;3202;;;;2022/01/13 00:00:00.000;;;21;;;La finalidad, de interés general y sin ánimo de lucro de la Fundación, es contribuir al impulso, la promoción, estudio y desarrollo de la investigación científicamente excelente sobre el envejecimiento, desde una perspectiva multidisciplinar, incluida la biología e inteligencia artificial con reconocimiento internacional y la aspiración de tener un impacto social y económico positivo.. Contribuyen, a su vez, finalidades particulares del ICAR.. a) Desarrollar un estudio e investigación de vanguardia en el campo de la biología molecular y celular y de la genética de envejecimiento, así como la biología computacional y de sistemas, y la inteligencia artificial para la comprensión de la biología de envejecimiento.. b) Desarrollar nuevas terapias y/o tratamientos para las enfermedades asociadas al envejecimiento, así como nuevos biomarcadores de éstas.. c) Activar como centro de excelencia en la investigación de envejecimiento, siendo referencia y nodo de interacción para otros centros o institutos de investigación biomédica, sanitaria y biotecnológica relacionada con el envejecimiento.. d) Desarrollar programas de formación a través de acciones específicas, seminarios, programas de formación de personal becario o en prácticas, supervisión de tesis doctorales y cualquier otra que pueda contribuir a la formación.. e) Colaborar en el diseño del marco de los principios generales y las directrices para el fomento y ordenación de las actividades relacionadas con la investigación sobre el envejecimiento en Europa.. f) Organizar encuentros científicos nacionales e internacionales.. g) Obtener recursos propios, subvenciones, becas, ayudas y donaciones otorgadas tanto por instituciones públicas como de personas físicas y jurídicas privadas, destinados para financiar actuaciones que faciliten el logro del objetivo principal y de las finalidades fundacionales.. h) Cualesquiera otras finalidades que contribuyan al logro del objetivo principal y de las finalidades fundacionales.. El contenido de los apartados anteriores no tiene carácter limitativo y se tiene que considerar válida toda actuación que coadyuve al logro del objetivo y al desarrollo de la actividad de la Fundación.. Por tanto, los fines de la Fundación tienen como beneficiarios las personas humanas en general y en particular, el colectivo de la tercera edad.
248V;FUNDACIÓN CEDAT DE LA COMUNITAT VALENCIANA;;1) FUNDACIÓN CENTRO DE ESTUDIOS PARA EL DESARROLLO DE AYUDAS TÉCNICAS Y SISTEMAS PARA LA INTEGRACIÓN SOCIO-LABORAL DE PERSONAS DISCAPACITADAS. 2) FUNDACIÓN CEDAT DE LA COMUNIDAD VALENCIANA;CEDAT;;emartica@upv.es  iandreu@upv.es   cedat@upv.es;Cno.Vera,s/n Casa del Noi - Universitat Politècnica de València;;46;VALÈNCIA;VALÈNCIA;46022;963877036;;G96513437;1996/03/26 00:00:00.000;;;42;;;Artículo 6. Fines y Actividades. La Fundación tiene por objeto prestar apoyo a las personas con discapacidad garantizando la igualdad de oportunidades en el acceso e integración en los estudios universitarios, así como la inserción socio-laboral de las personas discapacitadas. Corresponde al Patronato de la Fundación determinar el modo en que se deberán cumplir los fines enumerados en este artículo. Las prestaciones de la Fundación se otorgarán de forma no lucrativa. El desarrollo del objeto de la Fundación se efectuará de manera preferente a través de alguna de las formas siguientes de actuación: a) Programa de atención al alumnado con discapacidad, desarrollando planes personalizados de atención. B) Servicio de atención al personal docente e investigador y al personal de administración y servicios con discapacidad. C) Integrar esfuerzos y promover nuevas líneas de investigación orientados a dotar de mayor autonomía a las personas discapacitadas y a facilitar, a través del desarrollo de medios apropiados, su integración socio-laboral. D) Realizar acciones de formación y sensibilización dirigidas a la comunidad universitaria y trabajar en la eliminación de barreras arquitectónicas, técnicas y de accesibilidad a la comunicación e información, para conseguir que la universidad se convierta en un espacio de accesibilidad universal y diseño para todas las personas. E) Realizar estudios de accesibilidad y actividades de asesoramiento a entidades externas a la Universitat Politècnic de València. F) Desarrollar experiencias de empleo con personas discapacitadas, mediante la realización de actividades de prestación de servicios, al objeto de facilitar su integración socio-laboral.
